name;cooking_time;description;ingredients;categories
кабачковые сэндвичи с сыром;40;Нарезаем кабачки на тонкие полоски одинаковой толщины. Полоски сыра нарезаем по размеру полосок кабачка. Поскольку сэндвич у нас будет состоять из двух полосок кабачка и одной полоски сыра, то сыра должно быть вполовину меньше, чем кабачков. Полоски кабачков выкладываем в миску и посыпаем крупной солью. Оставляем кабачки в соли на 30 минут. В миске взбиваем венчиком 2 куриных яйца. Добавляем немного соли и черного молотого перца. Перемешиваем все еще раз. Отжимаем кабачки от выделившейся жидкости и промокаем каждую полоску кабачка бумажными салфетками. На полоску кабачка кладем полоску сыра. Накрываем сыр второй полоской кабачка. Проделываем так со всеми полосками кабачка и сыра. Подготовим кляр и муку. Сначала обваливаем каждый сэндвич в муке. Затем окунаем сэндвичи в яйцо. Выкладываем сэндвичи на противень, предварительно смазав его растительным маслом. Отправляем противень в разогретую до 180 градусов С духовку на 20 минут.;кабачок:2 шт.:False,яйцо:2 шт.:False,сыр:2-3 полоски:False,мука:3-4 ст.л.:False,соль:по вкусу:False,перец чёрный молотый:по вкусу:False;перекус,овощи
картошка-гармошка с беконом;30;Включите заранее духовку. Помойте картофель, нарежьте гармошкой. Слайсами порежьте сыр и 250 гр. бекона, зелень измельчите. Оставшиеся 100 гр. бекона нарежьте мелкими кубиками. Подготовленный картофель посолите, добавьте специи по вкусу, сбрызните маслом. В каждый второй надрез положите слайс бекона. Остальные надрезы оставьте пустыми. Позже в них будет закладываться сыр. Приготовьте все заготовки. Застелите противень фольгой, выложите на него заготовки и отправьте выпекаться. Поскольку картофель открыт, сделайте температуру 200 градусов. Тем временем приготовьте соус. Обжарьте кубики бекона. В сметану добавьте соли и измельченной зелени. Для вкуса можно добавить 2-3 зубка чеснока, хорошо вымешать. Когда картофель практически готов, достаньте противень и положите в пустые надрезы сыр. Пеките еще 10 минут. Готовый картофель гармошкой подавайте с соусом из сметаны и поджаренными кубиками бекона.;картофель:1 кг.:False,сыр:250 гр.:False,бекон:350 гр.:False,соль:по вкусу:False,масло растительное:3 ст.л.:False,сметана:200 гр.:False,зелень:по вкусу:True;мясное,горячее,ужин
куриные рулетики;50;Отделите бедрышко от ножки. Снимите с них кожу. Сделайте надрезы с одной стороны куриной мякоти и срежьте мясо так, чтобы получились вот такие полоски мяса. Полоску мяса, срезанную с бедра, разрежьте еще пополам вдоль. В итоге, с двух окорочков у нас получится 6 полосок куриного филе. Мясо посыпаем солью и перцем, добавляем копченую паприку и хорошо со всех сторон обваливаем в специях. Выложить полоску бекона на разделочную доску. Немного отступив от краев, выложить полоску куриного филе на бекон. Болгарский перец нарезать полосками. Моцареллу извлечь из упаковки, промокнуть жидкость салфеткой и нарезать сыр брусочками. Выложить пару полосок перца и брусок моцареллы на куриное филе. Скрутить рулетик. Края бекона закрепить деревянными шпажками. Проделать процедуру со всеми кусками мяса, бекона и начинкой. Выложить готовые рулетики на противень. Отправить противень с куриными рулетиками в разогретую до 180 градусов С духовку на 25-30 минут.;бекон:6-7 полосок:False,курица(бедра):2 шт.:False,перец сладкий:1 шт.:False,моцарелла:1 шарик:False,паприка копченая:0.5 ч.л.:True,соль:по вкусу:False,перец чёрный молотый:по вкусу:False;курица,ужин,горячее
картофельные шарики;120;Для приготовления картофельных шариков из пюре с сыром подготовьте ингредиенты по списку. Залейте картофель холодной водой, добавьте 1-2 щепотки соли, доведите воду до кипения и отварите картофель до готовности. Затем горячую воду слейте и слегка охладите картофель. Очистите картофель от кожуры и разомните до состояния однородного пюре. Мелко нарежьте чеснок и обжарьте на небольшом огне в небольшом количестве растительного масла до золотистого цвета. В качестве альтернативы чеснок можно обернуть фольгой и запечь в духовке до мягкости. Добавьте к картофельному пюре поджаренный чеснок, нарезанный зеленый лук, немного соли, 1 ст.л. растительного или сливочного масла и молотый черный перец по вкусу. Хорошо все перемешайте, а затем полностью охладите пюре. Для приготовления картофельных шариков также подойдет и вчерашнее картофельное пюре. Измельчите крекеры до состояния мелкой крошки. Добавьте к крекерной крошке натертый сыр, немного паприки, хмели-сунели, соль и молотый черный перец по вкусу. Хорошо все перемешайте. В отдельную емкость разбейте куриное яйцо. Слегка взбейте куриное яйцо вилкой, до получения однородной массы. Смоченными в воде руками сформируйте из охлаждённого картофельного пюре небольшие шарики. Если используете для приготовления шариков картофельное пюре, которому не хватает вязкости, добавьте в пюре немного пшеничной муки. Каждый картофельный шарик окуните поочередно в муку и взбитое яйцо, а затем обваляйте в подготовленной панировке из измельченных крекеров. Выложите картофельные шарики с сыром на лист пекарской бумаги, смазанный растительным маслом. Поместите в разогретую до 200-225 градусов духовку и выпекайте 15 минут до золотистого цвета. В процессе приготовления картофельные шарики из пюре могут слегка увеличиться в размере, и как следствие - их панировка может слегка потрескаться, а сами шарики - слегка деформироваться, но на их замечательном вкусе это негативно не сказывается.;картофель:1 кг.:False,лук зелёный:0.5 пучка:False,чеснок:0.5 головки:True,масло растительное:1 ст.л.:False,соль:по вкусу:False,перец чёрный молотый:по вкусу:False,яйцо:1-2 шт.:False,крекеры:100 г.:False,сыр:50 г.:False,паприка:по вкусу:True,хмели-сунели:по вкусу:True,мука:по необходимости:True;горячее,овощи,закуска
хлебцы из кабачков;40;Натрите кабачки на терке с самым маленьким размером ячейки. Добавьте 2 щепотки соли, перемешайте и оставьте на 10-15 минут. Затем тщательно отожмите кабачки и слейте весь выделившийся сок. Чем больше получится отжать сока, тем лучше. Добавьте к кабачкам яйца (2 крупных или 3 небольшого размера), мелко нарезанный зеленый лук и чеснок, хмели-сунели (или смесь итальянских трав) и молотый черный перец. Тщательно все перемешайте. Добавляя по 1 ст.л., вмешайте в смесь просеянную пшеничную муку. Муки добавляйте ровно столько, чтобы смесь загустела до состояния, когда «корж» сможет сохранять заданную ему форму, не растекаясь по противню. Попробуйте готовую смесь и при необходимости добавьте еще немного соли по вкусу. Выстелите противень антипригарной бумагой для запекания. Смажьте бумагу тонким слоем растительного масла. Выложите кабачковую массу на противень и разровняйте до толщины примерно 1-1.5 см. Получившийся корж поместите в разогретую до 225 градусов духовку и выпекайте 25-30 минут, пока корж не подсохнет по краям и его поверхность не подрумянится. Затем присыпьте корж натертым сыром. Особенно эффектным на вкус получается сочетание твердого сыра и моцареллы, в равных пропорциях (примерно по 125 граммов). Уменьшите температуру до 180 градусов, поместите корж в духовку и выпекайте еще 10-12 минут, для того чтобы сыр расплавился. Готовый корж присыпьте 2-3 щепотками нарезанной петрушки. Разрежьте корж на порционные кусочки желаемого размера и подавайте к столу, дополнив по желанию томатным соусом.;кабачок:800 г.:False,сыр:200-250 г.:False,яйцо:2-3 шт.:False,мука:50-80 г.:False,лук зелёный:15-20 г.:True,чеснок:2 зубчика:True,масло растительное:1 ч.л.:False,хмели-сунели:1 ч.л.:True,соль:по вкусу:False,перец чёрный молотый:по вкусу:False,петрушка:для подачи:True;перекус,овощи
лазанья;120;Для начала подготовим соус. Нарежем мелкими кубиками 1 небольшую морковь, 1 луковицу и 1 стебель сельдерея. В сковороду наливаем немного растительного масла. Кладем лук, жарим до полупрозрачности, добавляем морковь и сельдерей, жарим еще се вместе 1-2 минуты. Добавляем 500 грамм фарша любого, у меня смешанный и стараемся его разбить лопаткой как можно мельче. Жарим минут 5-7. Теперь добавляем томатную пасту 2 ст.л., но лучше всего добавить томаты в собственном соку 250 мл или свежие помидоры. Добавляем половину ч.л. соли, лавровый лист, черный перец. Перемешиваем и теперь вливаем 500мл воды, огонь убавляем до минимального, закрываем крышкой и готовим до испарения жидкости. По времени занимает 1-1,5 часа, за это время фарш превращается в нежнейший, благодаря чему лазанья получится еще вкуснее. Снимаем с огня, как жидкость практически испарится. Параллельно приготовим соус бешамель. Подогреем 900 мл молока, примерно до 80 градусов, но не доводим до кипения. Берем кастрюлю кладем 50 грамм сливочного масла, вливаем 2 ст.л. растительного масла, как масло растопится добавляем 50 грамм муки, или 2 ст.л. Перемешиваем с маслом и прожарим примерно 1 минуту, теперь постепенно добавляем молоко, и постоянно помешиваем, чтобы не было комочков. Как масса начнет густеть добавляем соль 1/2ч.л., черный перец и мускатный орех. Провариваем еще примерно 1-2 минуты и снимаем с огня. Теперь, когда все подготовили натрем 300 грамм сыра, я беру классический сыр. Натрем его на крупной терке и отставим в сторонку. Мясной соус разделим на 3 части. Листы лазаньи я беру уже готовые, листы отваривать не нужно. Берем противень, такой, чтобы в него входили листы. На дно кладем соус бешамель, далее листы лазаньи, кладем мясной соус, затем бешамель, посыпаем сыром, поливаем соусом, кладем листы лазаньи. И продолжаем все тоже самое, мясной соус, затем молочный, затем посыпаем сыром, поливаем немного соусом и кладем листы лазаньи. В итоги должно получиться 4 слоя листов лазаньи. Верхний слой заливаем оставшимся соусом бешамель и щедро посыпаем тертым сыром. Оставим постоять минут 5-10, за это время прогреем духовку. Прошло 10 минут, ставим в разогретую духовку и готовим при 200 градусах 30 минут. Листы за это время впитаю в себя жидкость и станут мягкими, сыр расплавится и начнет румянится. Вынимаем из духовки, даем постоять минут 10 и разрезаем на порционные кусочки.;листы лазаньи:8шт.:False,сыр:300гр.:False,морковь:1шт.:False,лук репчатый:1шт.:False,сельдерей:1шт.:True,фарш:500гр.:False,томатная паста:2ст.л.:False,масло растительное:6ст.л.:False,вода:500мл.:False,соль:1ч.л.:False,перец чёрный молотый:по вкусу:False,лавровый лист:1шт.:True,молоко:900мл.:False,масло сливочное:50гр.:False,мука:50гр.:False,орех мускатный:по вкусу:True;горячее,мясное,ужин
банановые маффины;30;Подогрейте духовку до 180 градусов и приготовьте форму для выпекания маффинов с 12 ячейками, слегка сбрызнув ее кулинарным спреем или смазав маслом. В большой миске тщательно разомните бананы вилкой. Добавьте к банановому пюре растительное масло или постный маргарин и сахар, затем перемешайте ингредиенты. В отдельной миске смешайте просеянную муку, соль и пищевую соду до однородной массы. Соедините мучную смесь с банановым пюре и аккуратно перемешайте ингредиенты. Банановое тесто для выпечки маффинов готово. Добавьте к подготовленному банановому тесту нарезанные грецкие орехи, аккуратно перемешайте. Кроме того, можете посыпать измельченные орехи сверху каждого порционного маффина перед выпечкой. Аккуратно выложите банановое тесто в смазанную форму для выпечки, заполняя каждую ячейку примерно на 2/3. При желании перед выпечкой сверху посыпьте маффины сахаром. Выпекайте банановые маффины в разогретой духовке около 25 минут, проверьте готовность кексов с помощью зубочистки. Готовые банановые маффины подавайте теплыми или охлажденными.;банан:50 мл.:False,масло растительное:180 г.:False,сахар:260 г.:False,мука:1 ч.л.:False,соль:1 ч.л.:False,сода:120 г.:False,орех грецкий:2 ст.л.:True;сладкое,выпечка,фрукты
куриные котлеты;25;В среднюю миску поместите куриный фарш. Добавьте тертый сыр и мелко нарезанный зеленый лук. Затем в миску выложите майонез, приправьте фарш солью и молотым черным перцем, все хорошенечко перемешайте. Разделите приготовленную куриную смесь на 8 равных частей и сформируйте из них котлетки. Используя открытый гриль или домашнюю сковороду-гриль, обжаривайте котлеты примерно по 5 минут с каждой стороны до полной готовности. Пока куриные котлетки обжариваются, приготовьте ароматную сальсу из авокадо и кукурузы. В средней миске смешайте нарезанное авокадо, кукурузу, измельченную кинзу, лаймовый сок, оливковое масло, приправьте ингредиенты солью и молотым черным перцем по вкусу.;фарш куриный:700 г.:False,лук зелёный:2 пера:False,сыр:120 г.:False,майонез:50 г.:False,соль:1/2 ч.л.:False,перец чёрный молотый:по вкусу:True;курица,горячее,ужин
луковые кольца;40;Луковицы нарежьте кружочками толщиной 1 см и осторожно разберите на кольца, стараясь не повредить их целостность. Муку тщательно перемешайте в миске с 1,5 ч.л. соли и разрыхлителем. Подготовленные луковые кольца порциями обваляйте в получившейся смеси, лишнее стряхните. Взбейте сырые яйца с молоком и добавьте мучную смесь,  перемешайте до однородности. Окунайте луковые кольца в яично-мучную смесь и выкладывайте на решетку, чтобы стекло лишнее. В кастрюлю или сотейник налейте растительное масло без запаха и разогрейте его до 180 градусов, используя для контроля температуры кулинарный термометр. Кольца в кляре обваляйте в панировочных сухарях. Жарьте луковые кольца во фритюре до золотисто-коричневой корочки с обеих сторон, в течение 2-3-х минут. Готовые хрустящие луковые кольца поместите на бумажные полотенца для удаления лишнего жира.;лук репчатый:2 шт.:False,мука:2 стакана:False,сухари панировочные:2 стакана:False,молоко:400 мл.:False,яйцо:2 шт.:False,разрыхлитель:2 ст.л.:True,паприка:по вкусу:True,перец чёрный молотый:по вкусу:True,соль:по вкусу:True,масло растительное:для жарки:False;перекус,закуска,овощи
шоколадный пирог на пиве;60;Подготовьте ингредиенты. Разогрейте духовку до 180 градусов. Смажьте маслом противень для запекания пирога размером 20х30 см. В средней миске смешайте сухие ингредиенты: просеянную муку, пищевую соду и соль. В чаше кухонного комбайна или с помощью блендера взбейте сливочное масло и сахар до пышной и воздушной консистенции. Добавьте к взбитой смеси яйца, растопленный шоколад и ванильный экстракт. К полученной шоколадной смеси добавьте смесь сухих ингредиентов, затем темное пиво, кефир и вишневый сироп. Тщательно перемешайте. В шоколадное тесто добавьте нарезанные коктейльные вишни и грецкие орехи. Влейте готовое тесто на смазанный противень. Выпекайте шоколадный пирог около 35-40 минут, проверьте готовность выпечки с помощью зубочистки. Готовый шоколадный пирог полностью охладите перед нанесением шоколадной глазури. Приготовьте шоколадную глазурь для украшения пирога: в большой миске смешайте какао-порошок, сливочное масло, кукурузный сироп, темное пиво, ванильный экстракт и соль. Добавьте к смеси сахарную пудру и взбейте до однородной консистенции. Равномерно распределите шоколадную глазурь поверх пирога.;мука:400 г.:False,сода:2 ч.л:False,соль:1/2 ч.л.:False,масло сливочное:150г.:False,сахар:350 г.:False,яйцо:2 шт.:False,шоколад:60 г.:False,ваниль:1/2 ч.л.:True,пиво тёмное:200 мл.:False,кефир:150 мл.:False,вишня:300 г.:True,орех грецкий:100 г.:True;выпечка,сладкое
свинина в горшочке;60;Разморозить тесто. Нарезать мясо небольшими кусочками, а лук и подготовленный сладкий перец — кубиками. Шампиньоны нарезать тонкими ломтиками, чернослив — полосками. Петрушку нарубить, чеснок измельчить. Разогреть масло в сотейнике, обжарить лук, чеснок и сладкий перец. Добавить грибы, мясо и подержать на огне еще 7 минут. Разложить по горшочкам на 4 персоны. В каждый насыпать немного зелени, положить чернослив и залить горячими сливками. Края горшочков смазать жиром. Духовку разогреть до 200°С. Разрезать тесто на квадраты и накрыть ими горшочки, верх смазать взбитым яйцом, наколоть вилкой. Поставить в духовку на 40 минут.;слоеное тесто замороженное:1 пласт:False,свинина:500 г.:False,лук репчатый:2 шт.:False,чеснок:2 зубчика:True,перец сладкий:2 шт.:False,шампиньоны:200 г.:False,чернослив:70 г.:False,петрушка:50 г.:True,масло растительное:2 ст.л.:False,сливки:400 мл.:False,яйцо:1 шт.:False,соль:по вкусу:False,перец чёрный молотый:по вкусу:False;свинина,горячее,ужин,мясное,грибы
свинина по-кубински;30;Для соуса нарезать сладкий перец кубиками. Нарубить лук и чеснок. Разогреть в сотейнике 2 ст.л. растительного масла. Положить лук, чеснок, перец и жарить, помешивая, 5 минут. Далее влить к овощам бульон и соевый соус, довести до кипения и тушить на среднем огне 10 минут. Мясо вымыть, обсушить бумажным полотенцем, нарезать порционными кусками и отбить. В сковородке разогреть оставшееся растительное масло, и обжарить свинину с двух сторон до подрумянивания. Очистить бананы и нарезать их кружочками. Добавить в сковородку к мясу и жарить все вместе еще 5 минут. Готовое блюдо украсить базиликом. Соус подавать отдельно.;свинина:800 г.:False,перец сладкий:1 шт.:False,лук репчатый:1 шт.:False,чеснок:2 зубчика:True,масло растительное:4 ст.л.:False,бульон свиной:100 мл.:False,соевый соус:2 ст.л.:False,банан:2 шт.:False,базилик:7 шт.:True;горячее,свинина,ужин,мясное
свинина под французским соусом;30;Мясо вымыть, обсушить, натереть солью и специями. Обжарить на топленом масле до красивой корочки. Затем переложить свинину в форму и запекать при температуре 180°С около 15 минут. Затем посыпать мясо рубленной зеленью и томить еще 5 минут. Лук очистить, мелко порубить и обжарить на сливочном масле до полупрозрачности. Шампиньоны нарезать пластинками, сбрызнуть соком лимона. Добавить грибы к луку и жарить 5 минут, приправить солью и специями. В сковороду влить вино, после чего оставить на огне на 5 минут. Затем добавить сливки и тушить еще 5 минут. Мясо подавать на стол, предварительно полив соусом.;свинина:500 г.:False,масло сливочное:130 г.:False,зелень:50 г.:True,соль:по вкусу:False,перец чёрный молотый:по вкусу:False,лук репчатый:4 шт.:False,шампиньоны:400 г.:False,сок лимонный:2 ст.л.:False,вино белое сухое:100 мл.:False,сливки:200 мл.:False;горячее,свинина,ужин,мясное,грибы
стейк из говядины;20;Подготовим мясо: стейк солим крупной морской солью, добавляем дробленый перец, пару веточек тимьяна и розмарина, смазываем оливковым маслом. Оставлять мариноваться не нужно, сразу отправляем на раскаленную сковороду и жарим по 3 минуты с каждой стороны, переворачиваем и держим на огне еще по 2 минуты с каждой стороны. Пока стейк жарится, добавьте в сковороду еще по одной веточке розмарина и тимьяна — мясо напитается пряным ароматом. Теперь важный момент! Сразу после жарки положите на стейк 20 г сливочного масла и немедленно накройте крышкой: мясу нужно «отдохнуть», и тогда говядина порадует вас сочностью и лучшим вкусом.;говядина:200 гр.:False,перец чёрный молотый:по вкусу:False,масло растительное:2 ст.л.:False,тимьян:2 г.:True,розмарин:10 г.:True,масло сливочное:50 г.:False;мясное,горячее,ужин,говядина
ростбиф из говядины;100;Маринуем мясо. Необходимо натереть говядину смесью из соли, перца, трав и чеснока, накрыть пищевой пленкой и отправить в холодильник на 3 часа, а после оставить еще на 30 минут при комнатной температуре. Смажем подготовленное мясо растительным маслом и обжарим на раскаленной сковороде до образования корочки, как бы «запечатаем» его, чтобы сохранить весь сок внутри. Ставим говядину в предварительно разогретую до 180 градусов духовку на 45-55 минут. Когда ростбиф почти готов, примерно за 10 минут до окончания, добавим к нему томаты черри, сбрызнув их оливковым маслом. Проверяем готовность мяса: при прокалывании должен выделяться розовый сок. Важный момент: дайте мясу «отдохнуть» — заверните его в фольгу и оставьте на 20 минут, чтобы оно напиталось соком. Подавайте на стол с запеченными томатами черри или другими овощами. Ростбиф можно подавать как горячим блюдом, так и в виде холодной закуски.;говядина:1 кг.:False,томат:300 гр.:False,соль:по вкусу:False,перец чёрный молотый:по вкусу:False,тимьян:5 г.:True,розмарин:7 г.:True,чеснок:5 г.:True,масло растительное:40 гр.:False;говядина,мясное,ужин
